통합 핵심 오류코드 50선  (형식: XX-YY-NN),,,,,,
Critical → High → Medium 순 정렬  |  공정 오류(HV HM HS SV SS) + 앱 오류(AN AM AD AS AG AX AH),,,,,,
,,,,,,
오류코드,대분류,오류명,발생 상황,심각도,대응 방법,구 코드 참조
HM-PO-01,하드웨어 · 기계,비상 정지 버튼 활성,작업자 또는 안전 센서가 비상 정지 트리거,Critical,"즉시 라인 중단, 원인 파악 후 재가동 승인",구 HV-MC-PO-51
HM-PO-02,하드웨어 · 기계,과전류 트립 발생,모터·제어반에 허용 이상 전류 유입,Critical,차단기 점검 및 원인 장비 교체 후 재투입,구 HV-MC-PO-52
SV-PR-01,소프트웨어 · 비전,부품 누락 (Missing) 감지,필수 부품이 없는 제품 검출,Critical,해당 제품 즉시 불량 처리 및 공정 점검,구 SV-VS-PR-53
AM-NT-01,앱 · 모니터링,임계값 초과 알림 미발송,위험 수치 감지 후 알림 파이프라인 오류로 누락,Critical,"알림 파이프라인 즉시 점검, 임시 수동 모니터링",
HM-TE-01,하드웨어 · 기계,메인모터 과열 위험,모터 온도가 위험 임계치 초과,High,"모터 즉시 정지, 냉각 후 팬·열방산 점검",구 HV-MC-TE-52
HM-VI-01,하드웨어 · 기계,컨베이어 진동 과다,컨베이어 벨트 진동이 허용치 초과,High,라인 정지 후 체결 볼트·베어링 점검,구 HV-MC-VI-51
HM-AC-01,하드웨어 · 기계,그리퍼 흡착 압력 저하,흡착 그리퍼 진공압 기준치 미달,High,진공 라인 및 씰 상태 점검,구 HV-MC-AC-51
HM-PR-01,하드웨어 · 기계,가이드 레일 이탈,이송 중 제품이 가이드 레일 벗어남,High,즉시 정지 후 레일 정렬 및 센서 재보정,구 HV-MC-PR-51
HM-PR-02,하드웨어 · 기계,근접 센서 감지 불량,이송 위치 확인 근접 센서 신호 오류,High,센서 거리 재조정 또는 교체,구 HV-MC-PR-55
HM-PO-03,하드웨어 · 기계,전력 누전 감지,장비 본체에서 누전 신호 감지,High,즉시 전원 차단 후 누전 위치 측정·절연 처리,구 HV-MC-PO-53
HV-PR-01,하드웨어 · 비전,카메라 셔터 고장,카메라 기계식 셔터 오작동으로 촬영 불가,High,카메라 모듈 교체 및 검사 재개,구 HV-VS-PR-54
HV-PR-02,하드웨어 · 비전,조명 컨트롤러 단선,비전 조명 제어 케이블 단선,High,케이블 교체 및 조명 출력 재확인,구 HV-VS-PR-52
HS-NE-01,하드웨어 · 시스템,LAN 케이블 물리적 단선,제어 PC와 장비 간 네트워크 케이블 단선,High,케이블 교체 후 통신 복구,구 HV-SY-NE-51
HS-DA-01,하드웨어 · 시스템,SD카드 쓰기 실패,라즈베리파이 로컬 저장 매체 쓰기 오류,High,SD카드 교체 또는 저장 경로 재설정,구 HV-SY-DA-51
HS-PO-01,하드웨어 · 시스템,메인 전압 강하,공급 전압이 허용 하한치 이하로 떨어짐,High,전원 공급 장치 점검 및 UPS 상태 확인,구 HV-SY-PO-51
